milestone,workstream,activity,ac
Server Upgradation,System Admin,Training For System Admin,ac
Server Upgradation,System Admin,Workshop for System Upgradation ,ac
Application Deployment,Data Analysis,Data Driven Decision Making,ac
Application Deployment,Application Deployment,iOS App Architecture ,ac
Initial Training,Technical Writing,Training Documents ,ac
Initial Training,Web Development,Training Document ,ac
Security Testing,Cryptography,Ethical Hacking,ac
Security Testing,Cryptography,Future of Web,ac
Security Testing,Web Development,Machine Learning,ac
Initial Training,Web Development,Math for Web,ac
Initial Training,Data Analysis,Statistic For Decision Making ,ac
Publish Report,Computer Hardware,Improved Hardware Benefits  ,ac
Publish Report,Computer Hardware,Utilizing multi thread,ac
Documentation,Data Analysis,Learning Material,ac
Documentation,System Admin,Learning Material ,ac
Software Upgradation,System Admin,Understanding Licenses ,ac
Software Upgradation,Cryptography,Risk of Old Tech,ac
Software Upgradation,Data Analysis,Cost Over Time,ac
